title,artist,album,year,duration,tags
Physical - Ofenbach Remix,"Dua Lipa, Ofenbach",Physical (Remixes),,173708,Mix
Break My Heart - Jax Jones Midnight Snack Remix,"Dua Lipa, Jax Jones",Break My Heart (Jax Jones Midnight Snack Remix),,223283,Mix
Ladida (My Heart Goes Boom),"CRISPIE, ILIRA",Ladida (My Heart Goes Boom),,173383,Mix
One Kiss (with Dua Lipa) - R3HAB Remix,"Calvin Harris, Dua Lipa, R3HAB",One Kiss (with Dua Lipa) [Remixes],,190891,Mix
Night Garden (feat. Kenny Beats & Bakar),"BENEE, Kenny Beats, Bakar",Night Garden (feat. Kenny Beats & Bakar),,221262,Mix
Better Off Without You (Joel Corry Remix feat. Shift K3Y),"Becky Hill, Shift K3Y, Joel Corry",Better Off Without You (Remixes feat. Shift K3Y),,197485,Mix
Kings & Queens - James Carter Remix,"Ava Max, James Carter",Kings & Queens (The Remixes),,136254,Mix
Ciao Adios - Burak Yeter Remix,"Anne-Marie, Burak Yeter",Ciao Adios (Remixes),,180976,Mix
Birthday - Blinkie Remix,"Anne-Marie, Blinkie",Birthday (Blinkie Remix),,215365,Mix
17 - Tchami Remix,"MK, Tchami",17 (Remixes),,361534,Mix
High Hopes - Don Diablo Remix,"Panic! At The Disco, Don Diablo",High Hopes (Don Diablo Remix),,185782,Mix
Good as Hell (BNDR Remix),"Lizzo, BNDR",Good as Hell (Remixes),,223352,Mix
Mad Love - Leftwing : Kody Remix,"Mabel, Leftwing : Kody",Mad Love (Remixes),,195813,Mix
Places - Leon Reverse Remix,"Martin Solveig, Ina Wroldsen, Leon Reverse",Places (Remixes),,279103,Mix
Piece Of Your Heart - WEISS Remix,"MEDUZA, WEISS, Goodboys",Piece Of Your Heart (The Remixes),,202292,Mix
ily (i love you baby) (Topic Remix) [feat. Emilee],"Surf Mesa, Topic, Emilee",ily (i love you baby) (Topic Remix) [feat. Emilee],,157013,Mix
Break Up Song - Steve Void Remix,"Little Mix, Steve Void",Break Up Song (Steve Void Remix),,177864,Mix
Don't Call Me Up - Conducta Remix,"Mabel, Conducta",Don't Call Me Up (Remixes),,207957,Mix
Happier - Breathe Carolina Remix,"Marshmello, Bastille, Breathe Carolina",House Party,,158197,Mix
Just Got Paid (feat. French Montana) - M-22 Remix,"Sigala, Ella Eyre, Meghan Trainor, French Montana, M-22",Just Got Paid (Remixes) (feat. French Montana),,223863,Mix
Before U (feat. AlunaGeorge) - Reblok Remix,"Sonny Fodera, King Henry, AlunaGeorge, Reblok",Before U (feat. AlunaGeorge) [Reblok Remix],,230458,Mix
Boyfriend - Tiësto Remix,"Mabel, Tiësto",Boyfriend (Tiësto Remix),,177191,Mix
Mad Love - Blinkie Remix,"Mabel, Blinkie",Mad Love (Remixes),,200945,Mix
First Time - Sammy Porter Remix,"M-22, Medina, Sammy Porter",First Time (Remixes),,251170,Mix
Own It (feat. Ed Sheeran & Burna Boy) - Joel Corry Remix,"Stormzy, Ed Sheeran, Burna Boy, Joel Corry",Own It (feat. Ed Sheeran & Burna Boy) [Joel Corry Remix],,176332,Mix
Body - PBH & Jack Shizzle Remix,"Loud Luxury, PBH & Jack, Brando",Body,,180511,Mix
No Therapy,Felix Jaehn/Nea/Bryn Christopher,No Therapy,2020,172965,TOP
Afterlife,Flatbush Zombies,Afterlife,2020,194815,Mix;Ritka
Tick Tock,Clean Bandit/Mabel/24kGoldn,Tick Tock (feat. 24kGoldn),2020,178422,Current
Dynamite,BTS,Dynamite,2020,199111,Current
Életben maradni (Lotfi Begi Remix),Zséda/Lotfi Begi,Életben maradni (Lotfi Begi Remix),2020,206332,Magyar
50//50,Vantage,Metro City,2015,246224,Mix;Recurrent 2
Finally,Parx,Finally,2019,173987,Mix;Recurrent 1
if i were u,blackbear/Lauv,if i were u (with Lauv),2020,186525,Current
Looking for Me,Paul Woolford/Diplo/Kareen Lomax,Looking for Me,2020,211510,Current
Houdini,KSI/Swarmz/Tion Wayne,Dissimulation (Deluxe Edition),2020,168275,Recurrent 1
What Makes A Woman,Katy Perry,What Makes A Woman,2020,131332,Recurrent 1
Day 'N' Nite - Crookers Remix,Kid Cudi/Crookers,Man On The Moon: The End Of Day (Int'l Version),2008,281797,Mix
Régi nyár (Az Efott Fesztivál Himnusza),Lotfi Begi/Kollányi Zsuzsi/DR BRS,Régi nyár (Az Efott Fesztivál Himnusza),2020,168066,Magyar;Nyár
Hollywood,LA Vision/Gigi D'Agostino,Hollywood,2020,199714,Current
Share That Love,Lukas Graham/G-Eazy,Share That Love (feat. G-Eazy),2020,172454,Current
Unforgettable,French Montana/Swae Lee,Jungle Rules,2017,233964,Recurrent 1
